




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.XXXX/zenodo.XXXXXXXX Released 2025-10-05
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20580)	upload_1 (5102)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
T cell selection (GO:0045058)	64	33	15.87	+	2.08	3.89E-06	1.53E-04
regulation of spindle checkpoint (GO:0090231)	33	17	8.18	+	2.08	9.32E-04	1.60E-02
T cell migration (GO:0072678)	33	17	8.18	+	2.08	9.32E-04	1.60E-02
microtubule bundle formation (GO:0001578)	138	71	34.21	+	2.08	1.50E-11	1.44E-09
phenol-containing compound biosynthetic process (GO:0046189)	35	18	8.68	+	2.07	6.64E-04	1.21E-02
cellular response to interleukin-4 (GO:0071353)	35	18	8.68	+	2.07	6.64E-04	1.21E-02
brown fat cell differentiation (GO:0050873)	35	18	8.68	+	2.07	6.64E-04	1.21E-02
regulation of mitotic sister chromatid separation (GO:0010965)	70	36	17.35	+	2.07	2.05E-06	8.78E-05
cell-cell recognition (GO:0009988)	72	37	17.85	+	2.07	1.42E-06	6.41E-05
skeletal muscle contraction (GO:0003009)	37	19	9.17	+	2.07	7.95E-04	1.41E-02
regulation of alpha-beta T cell differentiation (GO:0046637)	80	41	19.83	+	2.07	3.55E-07	1.89E-05
positive regulation of CD4-positive, alpha-beta T cell activation (GO:2000516)	43	22	10.66	+	2.06	2.46E-04	5.34E-03
cellular extravasation (GO:0045123)	43	22	10.66	+	2.06	2.46E-04	5.33E-03
regulation of lymphocyte apoptotic process (GO:0070228)	57	29	14.13	+	2.05	2.12E-05	6.67E-04
